"","kennung","art","frequenz"
"180","0408","Homogyne alpina",28
"181","M409","Vaccinium vitis-idaea",1
"182","0408","Vaccinium vitis-idaea",11
"183","S110","Avenella flexuosa",61
"184","S110","Campanula barbata",11
"185","S110","Festuca nigrescens",11
"186","S110","Leontodon helveticus",2
"187","S110","Luzula luzuloides",8
"188","S110","Nardus stricta",49
"189","S110","Vaccinium myrtillus",80
"190","S210","Avenella flexuosa",64
"191","S210","Campanula barbata",1
"192","S210","Festuca nigrescens",10
"193","S210","Leontodon helveticus",3
"194","S210","Luzula luzuloides",4
"195","S210","Nardus stricta",44
"196","S210","Vaccinium myrtillus",62
"197","S210","Potentilla erecta",15
"198","S310","Avenella flexuosa",58
"199","S310","Festuca nigrescens",3
"200","S310","Vaccinium myrtillus",63
"201","S310","Homogyne alpina",3
"202","S410","Avenella flexuosa",56
"203","S410","Festuca nigrescens",5
"204","S410","Leontodon helveticus",7
"205","S410","Luzula luzuloides",2
"206","S410","Nardus stricta",58
"207","S410","Vaccinium myrtillus",74
"208","S110","Geum montanum",2
"209","S210","Geum montanum",6
"210","S310","Festuca sp.",5
"211","S410","Geum montanum",3
"212","S410","Poa supina",3
"213","S210","Campanula sp.",1
"214","S210","Homogyne alpina",33
"215","S110","Arnica montana",1
"216","S210","Melampyrum pratense",1
"217","S110","Melampyrum pratense",4
"218","S310","Melampyrum pratense",1
"219","M409","Melampyrum pratense",18
"220","S310","Nardus stricta",51
"221","M309","Anthoxanthum odoratum",23
"222","S110","Anthoxanthum odoratum",68
"223","S210","Anthoxanthum odoratum",41
"224","S310","Anthoxanthum odoratum",15
"225","0408","Geum montanum",14
"226","S210","Homogyne alpina",25
"227","B409","Phleum rhaeticum",1
"228","S110","Vaccinium uliginosum",21
"229","S210","Vaccinium uliginosum",27
"230","S310","Vaccinium uliginosum",4
"231","S410","Vaccinium uliginosum",7
"232","M409","Vaccinium uliginosum",71
"233","0408","Vaccinium uliginosum",79
"234","S109","Vaccinium uliginosum",51
"235","0208","Vaccinium uliginosum",31
"236","S410","Festuca sp.",2
"237","S410","Campanula sp.",2
"238","M110","Avenella flexuosa",60
"239","M110","Campanula barbata",20
"240","M110","Festuca nigrescens",2
"241","S110","Potentilla erecta",34
"242","S410","Potentilla erecta",12
"243","S310","Potentilla erecta",6
"244","M110","Leontodon helveticus",2
"245","M110","Luzula luzuloides",10
"246","M110","Nardus stricta",57
"247","M110","Poa alpina",1
"248","M110","Vaccinium myrtillus",58
"249","M110","Homogyne alpina",12
"250","M210","Avenella flexuosa",80
"251","M210","Campanula barbata",18
